author,published,summary,is_com_or_sub,link,id,title,published_parsed
Mr_Mueller,2022-05-07 19:49:00+00:00,Vor ein paar Jahren am Openair Lumnezia konnte man nur mit einem aufladbaren Chip bezahlen. Es funktionierte einwandfrei und das Kassieren an den Bars ging doppelt so schnell wie mit Bargeld. ,com,https://www.20min.ch/comment/402438287701,402438287701.0,,
YvesBerthod,2022-05-07 20:20:00+00:00,@Mr_Mueller - Es gibt die Veranstaltersicht - und die Gästesicht. Ohne Gäste - kein Fest.,com,https://www.20min.ch/comment/402438287701,402438287701.0,,
mimimi66,2022-05-07 19:48:00+00:00,"wenn das System (Kartenzahlung) eine Panne hat, werden vielen dankbar sein über Bargeld.....Twinnt hat immer wieder eine Panne",com,https://www.20min.ch/comment/402438287701,402438287701.0,,
weirdSister,2022-05-07 19:43:00+00:00,"gesetzlich besteht eine Pflicht zur Annahme von Bargeld. davon können sich Vertragspartner auch entbinden. wird das nun unterlaufen, wie im Artikel beschrieben,  werde ich jede Initiative unterschreiben,  der die Annahmepflicht von Bargeld in die Verfassung schreibt.",com,https://www.20min.ch/comment/402438287701,402438287701.0,,
Rempas,2022-05-07 19:39:00+00:00,"Tolle Idee, dann aber gleich jeweils den entsprechenden Zuschlag für die Zahlungsfienste ausweisen und dem Kunden verrechnen. Der Verursacher zahlt. Ganz einfach. Das sieht irgendwie so aus als hätten da einige Anbieter kräftig genetzwerkt um ihre Interessen durchzubekommen.",com,https://www.20min.ch/comment/402438287701,402438287701.0,,
Amigo99,2022-05-07 19:38:00+00:00,Und das Handy oder Kreditkarten koennen nicht gestohlen werden?,com,https://www.20min.ch/comment/402438287701,402438287701.0,,
Einhornjäger,2022-05-07 20:04:00+00:00,"@Amigo99 
Es geht nicht um sie Sicherheit der Gäste.",com,https://www.20min.ch/comment/402438287701,402438287701.0,,
Mr_Mueller,2022-05-07 20:23:00+00:00,@Amigo99 Bargeld kann aber nicht gesperrt werden. Karte und Handy schon!,com,https://www.20min.ch/comment/402438287701,402438287701.0,,
"Ich,Helebardier_von_Melchtal",2022-05-07 19:35:00+00:00,"Tja dann geh ich nicht hin und besuche dafür das Restaurant Harmonie.
Da stimmt alles und ich kann in Cash bezahlen.",com,https://www.20min.ch/comment/402438287701,402438287701.0,,
münsigelinks,2022-05-07 19:44:00+00:00,"@Ich,Helebardier_von_Melchtal 
Gruss an die wunderschöne,traumhafte
Melchsee-frutt😍👍",com,https://www.20min.ch/comment/402438287701,402438287701.0,,
DanielStalone,2022-05-07 19:32:00+00:00,"Ich finde es eine tolle Idee, weil Bargeld nur unnötig kostet und sehr unpraktisch für die Dienstleister ist. Zudem ist es für sie sicherer, ihr Geld kann so nicht mehr am den Ständen gestohlen werden. Welcome to 2022! Es ist schön sich weiterzuentwickeln.",com,https://www.20min.ch/comment/402438287701,402438287701.0,,
YvesBerthod,2022-05-07 19:37:00+00:00,"@DanielStalone - Das ist keine Weiterentwicklung, sondern blinder Neoliberalismus (= Sozialdarwinismus). Gewinne den Privatfirmen, Unkosten dem Staat. Bargeld ist die offizielle Währung.",com,https://www.20min.ch/comment/402438287701,402438287701.0,,
DanielStalone,2022-05-07 20:09:00+00:00,"@YvesBerthod finde es Schade, wenn Menschen innovative und sehr hilfreiche, den Alltag erleichternde Lösungen nicht sehen, schätzen und stur den für viele Parteien erschwerende Prozesse weiterführen möchten. Finde es schön, dass Sie sich viele Gedanken machen, ich sehe einfach in Ihren Gedanken keinne Mehrwert",com,https://www.20min.ch/comment/402438287701,402438287701.0,,
Alpenfurz,2022-05-07 19:28:00+00:00,Ich finde die schleichende Abschaffung des Bargelds problematisch und gefährlich. Die Banken und Kredikartenfirmen müssen nicht über alles Bescheid wissen. Es gibt ein Recht auf Privatsphäre.,com,https://www.20min.ch/comment/402438287701,402438287701.0,,
W.Schmid,2022-05-07 19:28:00+00:00,Bargeld ist auch Privatsphäre und Datenschutz. Entspricht wohl nicht mehr dem Zeitgeist und wird wohl erst wieder wertgeschätzt wenn es verloren ist.,com,https://www.20min.ch/comment/402438287701,402438287701.0,,
DanielStalone,2022-05-07 19:36:00+00:00,@W.Schmid und sichert einen tieferen Steuersatz wenn man es heimlich zuhause oder im Banksafe lagert,com,https://www.20min.ch/comment/402438287701,402438287701.0,,
hugo1789,2022-05-07 19:26:00+00:00,"Soweit ich mich erinnern mag, gibt es sogar ein Bundesgesetz, welches die Annahme von Bargeld vorschreibt. Komische Leute, diese Stadtmenschen...",com,https://www.20min.ch/comment/402438287701,402438287701.0,,
Rolli303,2022-05-07 19:22:00+00:00,Die sollen das nur so machen. Mich werden sie da aber bestimmt nicht sehen.,com,https://www.20min.ch/comment/402438287701,402438287701.0,,
DanielStalone,2022-05-07 19:30:00+00:00,@Rolli303 Zum glück gehe ich nicht ans Stadtfest um Rolli303 zu sehen XD who cares?!,com,https://www.20min.ch/comment/402438287701,402438287701.0,,
Benö,2022-05-07 19:20:00+00:00,"Bargeld ist in der Schweiz ein ein vom Staat anerkanntes Zahlungsmittel. Dies gilt auch für die Kantone, somit ist die Ausgangslage eigentlich klar. ",com,https://www.20min.ch/comment/402438287701,402438287701.0,,
möögg,2022-05-07 19:20:00+00:00,"Also wenn ich berichte lese wo die Menschen an Banken Schlange stehen um an Geld zu kommen, weil alles gesperrt ist, bevorzuge ich Bargeld. Ist wohl auch übersichtlicher. Aber Bargeldlos ist halt schon Praktischer.",com,https://www.20min.ch/comment/402438287701,402438287701.0,,
St.Gallerli,2022-05-07 22:39:00+00:00,"@möögg 
Die stehen Schlange um Bargeld zu bekommen, bargeldlos kannst du ohne anzustehen bezahlen.",com,https://www.20min.ch/comment/402438287701,402438287701.0,,
Moogu,2022-05-07 19:18:00+00:00,"Wer mein Bargeld nicht will, erhält es nicht. Es ist kein Problem, keine Wurst zu kaufen. Es ist auch kein Problem, Luzern nicht zu besuchen und dort nichts zu konsumieren. Der Mensch braucht Luzern nicht.",com,https://www.20min.ch/comment/402438287701,402438287701.0,,
DanielStalone,2022-05-07 19:38:00+00:00,@Moogu genau so wie Bargeld,com,https://www.20min.ch/comment/402438287701,402438287701.0,,
C-3PO,2022-05-07 19:13:00+00:00,"Ich wollte schon öfters bargeldlos bezahlen, konnte aber nicht da das System nicht funktionierte. Ich bevorzuge Bargeld!",com,https://www.20min.ch/comment/402438287701,402438287701.0,,
DINPAPI,2022-05-07 19:12:00+00:00,Und wo sollen die leute das schwarzgeld ausgeben?,com,https://www.20min.ch/comment/402438287701,402438287701.0,,
Wissen-Ist-Macht,2022-05-07 19:12:00+00:00,Ich entscheide grundsätzlich selber wie/womit ich zahle. Wer das nicht versteht verliert meinen Umsatz. Wer es sich leisten kann... gut ,com,https://www.20min.ch/comment/402438287701,402438287701.0,,
CBG74,2022-05-07 19:01:00+00:00,Grundsätzlich steht dem Bargeldlosen zahlen ja nichts im Weg. Jedoch darf und kann es nicht sein dass ein Veranstalter ein anerkanntes Zahlungsmittel wegstreicht und somit Leute ausgenzt die aus irgendeinem Grund kein elektronisches Zahlungsmittel anwenden können oder dürfen. Darum geht es in diesen mittlerweilen tausenden von Beschwerden die das OK erreicht hat. Man könnte ja einfach diese Option Bargeld stehen lassen und die Besucher können frei wählen und übrigens das Depot wird in Bargeld ausbezahlt somit sämtliche Begründungen des OK ziemlich komisch. ,com,https://www.20min.ch/comment/402438287701,402438287701.0,,
Grosilein,2022-05-07 18:59:00+00:00,"die sollen sich jetzt halt auch anpassen.
Es hat sicher jeder Senior ein Handy wenn er noch fähig ist ans Stadtfest zu gehen.
Es macht vieles einfacher!",com,https://www.20min.ch/comment/402438287701,402438287701.0,,
DanielStalone,2022-05-07 19:40:00+00:00,"@Grosilein 4-5 Mal übern und dann hat es auch der Senior geschafft. Die Banken begleiten die Senoren in der digitalisierung und bieten Schulungen dafür an. Sie werden nicht ausgegrenzt, manche sind aber Lernfaul und stellen sie zu früh queer. Obwohl auch das Bargeldlose zahlen ihnen das Leben massiv vereinfacht. TWINT ist sehr einfach zu nutzen für alle",com,https://www.20min.ch/comment/402438287701,402438287701.0,,
Brandon@Home,2022-05-07 22:55:00+00:00,@DanielStalone es geht ums Prinzip! ,com,https://www.20min.ch/comment/402438287701,402438287701.0,,
DasischdäMoldovangsi,2022-05-07 18:59:00+00:00,"Ich zahle nur noch Bargeldlos, trotzdem finde ich sollte es für alte Menschen die Möglichkeit geben, dass man auch altmodisch mit Bargeld bezahlen kann.",com,https://www.20min.ch/comment/402438287701,402438287701.0,,
Moogu,2022-05-07 19:20:00+00:00,@DasischdäMoldovangsi Nur Bares ist Wahres. Und das Steueramt kann mich mal.,com,https://www.20min.ch/comment/402438287701,402438287701.0,,
Bernhard_R,2022-05-07 18:58:00+00:00,Bei Barzahlern einfach 50% Zuschlag als Umtriebsentschädigung verlangen. ,com,https://www.20min.ch/comment/402438287701,402438287701.0,,
Wissen-Ist-Macht,2022-05-07 19:08:00+00:00,"@Bernhard_R - Easy, dann spare ich 100% und der Anbieter verliert 100% von meinem Umsatz. Das nennt sich dann Opportunitätskosten.",com,https://www.20min.ch/comment/402438287701,402438287701.0,,
DerFussgänger,2022-05-07 20:13:00+00:00,@Bernhard_R : Und digital zahlen ist gratis? Wer hat Ihnen das erzählt? Die Kosten werden auf die Preise aufgeschlagen und müssen von ALLEN mitbezahlt werden. Danke schön!,com,https://www.20min.ch/comment/402438287701,402438287701.0,,
deul,2022-05-07 21:03:00+00:00,"@Bernhard_R Bargeld ist gesetzliches Zahlungsmittel und muss angenommen werden, jeder Betrieb, jedes Unternehmen in der Schweiz ist buchführungspflichtig. In jeden Kontenplan gibt es die Kasse mit der Kontonummer 1000, sie muss samt Kassenbuch geführt werden!",com,https://www.20min.ch/comment/402438287701,402438287701.0,,
migro,2022-05-07 18:58:00+00:00,"Am besten alle zu Hause bleiben, entweder mit Geld bezahlen, oder nicht.",com,https://www.20min.ch/comment/402438287701,402438287701.0,,
Radaumann,2022-05-07 18:57:00+00:00,"Kurz und bündig, dann werde ich nicht hingehen. Ich lasse mich nicht zu etwas zwingen, schon gar nicht wenn es ums Bargeld geht. ",com,https://www.20min.ch/comment/402438287701,402438287701.0,,
Pragmatiker0815,2022-05-07 18:57:00+00:00,"Bundesgesetz
über die Währung und die Zahlungsmittel
Art. 3 Annahmepflicht
1 Jede Person ist gehalten, bis zu 100 schweizerische Umlaufmünzen an Zahlung zu nehmen. Umlauf-, Gedenk- und Anlagemünzen werden von der Schweizerischen Nationalbank und den öffentlichen Kassen des Bundes unbeschränkt zum Nennwert angenommen.

2 Schweizerische Banknoten müssen von jeder Person unbeschränkt an Zahlung genommen werden.",com,https://www.20min.ch/comment/402438287701,402438287701.0,,
mänu0302,2022-05-07 18:55:00+00:00,Ich gehe hin und hei im coop kann mann bar zahlen und das Bier ist auch noch günstiger alls die abriss preise in Der stadt,com,https://www.20min.ch/comment/402438287701,402438287701.0,,
exukrainesöldner,2022-05-07 18:45:00+00:00,"Bei denen geht es also nur darum, dass man sein ganzes Geld ausgibt und nicht um die Sicherheit. Zahlt man mit Karte hat man die Ausgaben weniger unter Kontrolle. Man checkt ja nicht nach jeder Transaktion seinen Kontostand. ",com,https://www.20min.ch/comment/402438287701,402438287701.0,,
mänu0302,2022-05-07 18:45:00+00:00,Bares ist wares,com,https://www.20min.ch/comment/402438287701,402438287701.0,,
DasischdäMoldovangsi,2022-05-07 18:59:00+00:00,@mänu0302 Twint gewinnt,com,https://www.20min.ch/comment/402438287701,402438287701.0,,
DasischdäMoldovangsi,2022-05-07 19:00:00+00:00,@mänu0302 T wint gewinnt,com,https://www.20min.ch/comment/402438287701,402438287701.0,,
Schwaizerin,2022-05-07 18:42:00+00:00,"Ich finde das perfekt. Kein Bargeld, keine Virenschleudern. Kein Bargeld, kein Anreiz für Diebe. Funktioniert an anderen Orten doch auch.
An so ein Fest gehe ich sofort, danke Luzern! ",com,https://www.20min.ch/comment/402438287701,402438287701.0,,
Wissen-Ist-Macht,2022-05-07 18:51:00+00:00,@Schwaizerin - Gib mir deine Karte. Ich konsumiere x-mal für 80  Franken bevor du es merkst.,com,https://www.20min.ch/comment/402438287701,402438287701.0,,
HeuteistMorgenGestern,2022-05-07 18:51:00+00:00,@Schwaizerin wieso sollte kein Bargeld kein Anreiz für Diebe sein? bis 80 Fr kannst du in jedem Laden ohne Pin nit der Debit zahlen.,com,https://www.20min.ch/comment/402438287701,402438287701.0,,
DanielStalone,2022-05-07 19:55:00+00:00,@Wissen-Ist-Macht da weiss jemand wohl doch nicht so viel! Jede*r kann im Online Bankings selbständig die 80.- NFT Funktion abstellen wenn Sie/Er es nicht wünscht.,com,https://www.20min.ch/comment/402438287701,402438287701.0,,
Thehorsy,2022-05-07 18:39:00+00:00,Wo ist das Problem jeder hat heut zu Tage ein Smartphone. Die Leute tun so als das von einer anderen Weltprobleme wären. ,com,https://www.20min.ch/comment/402438287701,402438287701.0,,
Oldypeter,2022-05-07 18:47:00+00:00,@Thehorsy    Habe kein Smartphone!,com,https://www.20min.ch/comment/402438287701,402438287701.0,,
HeuteistMorgenGestern,2022-05-07 18:52:00+00:00,@Thehorsy immernoch nicht begriffen? Man kann das alles haben aber man muss nicht! Und nicht jeder will es!,com,https://www.20min.ch/comment/402438287701,402438287701.0,,
Schwaizerin,2022-05-07 18:53:00+00:00,@Oldypeter es geht auch mit iphone... ,com,https://www.20min.ch/comment/402438287701,402438287701.0,,
beatbachmann,2022-05-07 19:09:00+00:00,"@Thehorsy ich habe kein smartphone und extra eines kaufen für ein fest tue ich nicht. weiter habe ich bei meinen karten ""kontaktlos"" deaktiviert. grund ist, dass ich sehen will was der verkäufer ""itöggelet"" am gerät; und auch dieben das einkaufen ohne pin zu verunmöglichen. weiter fallen oft bei kartenzahlung gebühren an beim halter.",com,https://www.20min.ch/comment/402438287701,402438287701.0,,
Brandon@Home,2022-05-07 23:07:00+00:00,@beatbachmann die Gebühren freuen die Bankster!,com,https://www.20min.ch/comment/402438287701,402438287701.0,,
TRUE89,2022-05-07 18:38:00+00:00,Es wird nicht mehr lange gehen... Ich gewinne die wette ;),com,https://www.20min.ch/comment/402438287701,402438287701.0,,
Pit48,2022-05-07 18:34:00+00:00,Wer geht schon an der Stadtfest in Luzern?,com,https://www.20min.ch/comment/402438287701,402438287701.0,,
Pit48,2022-05-07 18:33:00+00:00,Konsumieren und eine Rechnung mit Einzahlungsschein verlangen.,com,https://www.20min.ch/comment/402438287701,402438287701.0,,
DanielStalone,2022-05-07 19:57:00+00:00,@Pit48 ob den QR Code von TWINT zu scannen oder den QR Code auf dem Einzahlungsschein :D,com,https://www.20min.ch/comment/402438287701,402438287701.0,,
Chäsloch,2022-05-07 18:30:00+00:00,Ich habe kein Smartphone und keine Karte. Bin ausschliesslich Barzahler. Luzern ist für mich somit tabu.,com,https://www.20min.ch/comment/402438287701,402438287701.0,,
Gucci123,2022-05-07 18:53:00+00:00,"@Chäsloch , dann bleib im Chäsloch ! ",com,https://www.20min.ch/comment/402438287701,402438287701.0,,
Putin-ist-das-Problem,2022-05-07 18:28:00+00:00,"Gehöre auch zu den älteren Semester, Bargeldlos bezahlen ist doch kein Problem. Wer sich den Änderungen immer widersetzt bekommt früher oder später Probleme und wird unselbständig. Sich anpassen hält dich geistig jung und fit und macht die unabhängig",com,https://www.20min.ch/comment/402438287701,402438287701.0,,
Lillifloh,2022-05-07 18:28:00+00:00,"Am besten nicht hingehen, wenn man nicht mit Karte bezahlen will.",com,https://www.20min.ch/comment/402438287701,402438287701.0,,
HeuteistMorgenGestern,2022-05-07 18:55:00+00:00,"@Lillifloh und weiter gehts mit dem Ausschliessen ganzer Bevölkerungsgruppen. Und die denken noch sie seien ""solidarisch"" oder ""sozial"". Kann man nichtmal mehr drüber lachen..",com,https://www.20min.ch/comment/402438287701,402438287701.0,,
DerKaaan,2022-05-06 03:32:00+00:00,Alles was heute noch aktuell ist wird in paar Jahren ersetzt ,com,https://www.20min.ch/comment/139019297679,139019297679.0,,
DerRealist,2022-05-06 02:42:00+00:00,In ein paar Jahren fliegen die Autos.....,com,https://www.20min.ch/comment/139019297679,139019297679.0,,
Basilgarrad,2022-05-06 01:59:00+00:00,Also die Verkehrsschilder erkennt mein Auto immer noch nicht richtig. Übrigens beim Tesla Modell 3 meines Kollegen such nicht. ,com,https://www.20min.ch/comment/139019297679,139019297679.0,,
JohannLauber,2022-05-06 01:48:00+00:00,In 10 Jahren fahren die Autos hoffentlich endlich autonom lv5. Die FSD beta in den USA von Tesla sieht jedenfalls schon sehr vielversprechend aus. ,com,https://www.20min.ch/comment/139019297679,139019297679.0,,
Fussballfan1974,2022-05-06 01:02:00+00:00,"""Den Vorwurf, dass wir in der Schweiz nicht perfekt Kreisel fahren können... "" ... und nicht nur das. Es würde ja erfordern, die Situation schnell zu erfassen und zeitnah zu reagieren. Und da ist schon das nächste Auto wieder da.",com,https://www.20min.ch/comment/139019297679,139019297679.0,,
FM1969FM,2022-05-06 00:55:00+00:00,"Falls es noch keiner gemerkt hat: Es werden neben den Strom verbrauchenden Ampeln auch Strom verbrauchende Leitsysteme und Strom verbrauchende Fahrzeuge als ""Problemlöser"" vorgeschlagen. Das klingt wenig überzeugend angesichts der Gefahr von plötzlich auftretenden Stromausfällen (""Blackouts""), wegen einer Netz-Überlastung und einer noch bei weitem nicht ausreichend vorhandenen Strom-Menge im Netz auf regenerativer Basis. Kreisverkehre arbeiten gänzlich Strom frei über Jahrhunderte und in deren Mitte könnte Strom für die Einspeisung ins Netz erzeugt werden.",com,https://www.20min.ch/comment/139019297679,139019297679.0,,
Denkversuch,2022-05-05 23:43:00+00:00,"Bluetooth, Funk, WLAN, Radar, optische Kontrolle, u.s.w. Bis zu Satelliten. Die Möglichkeiten sind enorm. Fangt an diese mi den anderen Verkehrsteilnehmer zu verbinden und überprüfen. So, dass der Standort, Richtung und  Geschwindigkeit verglichen werden kann, um eine Kollision zu vermeiden. ",com,https://www.20min.ch/comment/139019297679,139019297679.0,,
Denkversuch,2022-05-05 23:35:00+00:00,"Wir der Strassen Verkehr durch autonome Fahrzeuge geregelt braucht es auch keine Panzer mehr auf der Strasse. Somit könnte man wahre, ökologische Fahrzeuge bauen, die diese Bezeichnung auch verdienen. ",com,https://www.20min.ch/comment/139019297679,139019297679.0,,
Bananenbrot53,2022-05-05 23:28:00+00:00,Muss dann jeder Fussgänger mit eine Head-up display durch die Gegend laufen oder wie soll das sonst funktionieren?!,com,https://www.20min.ch/comment/139019297679,139019297679.0,,
EinwohnerCH,2022-05-05 23:02:00+00:00,"Ampel vs. Kreisel: Ich denke wenn es nur Kreisel gäbe wäre die Ampellobby arbeitslos, ist also m. M. nach auch ein finanzieller Grund. Ich kann mich aber auch irren.....",com,https://www.20min.ch/comment/139019297679,139019297679.0,,
Impferator,2022-05-05 22:45:00+00:00,Ich bin ökologisch bewusst und behalte mein Auto sicher noch für 15 Jahre.,com,https://www.20min.ch/comment/139019297679,139019297679.0,,
Strudel5000,2022-05-05 22:23:00+00:00,In 10 Jahren müssen wir wider Räder aus Stein meisseln wen das hier so weiter geht. Sehen uns in der Steinzeit wider . Kommentiere dan mit ner Brieftaube. Lg,com,https://www.20min.ch/comment/139019297679,139019297679.0,,
Oberbünzli88,2022-05-05 22:21:00+00:00,Erst nach dem dritten Weltkrieg wieder investieren.,com,https://www.20min.ch/comment/139019297679,139019297679.0,,
Wii360,2022-05-05 22:06:00+00:00,"Was ich raushöre ist nur ""lasst uns kein Geld ausgeben, dass Problem löst sich durch die Autoindustrie in ~10 Jahren von alleine"".
So kann man Probleme auch nach hintem schieben anstatt sie zu lösen 🙄
",com,https://www.20min.ch/comment/139019297679,139019297679.0,,
Durosa,2022-05-05 21:52:00+00:00,Sorry. Aber genau dies sollte zwingend verhindert werden. Denn erstens ist unser Rechtsystem darauf aufgebaut und zweitens sollten überall die gleichen Regeln gelten. Also auch Fahrrad oder sonstwie. Schon nur die Idee ist deswegen nicht nachvollziehbar.,com,https://www.20min.ch/comment/139019297679,139019297679.0,,
DollyBooster,2022-05-05 21:40:00+00:00,"Jeder hat halt das Gefühl er müsse zuerst und am schnellsten im Kreisverkehr unterwegs sein. Wenn jeder etwas gemütlicher fahren würde könnten bei einem Kreisel konstant Fahrzeuge von allen Seiten her im Reissverschluss-System in den Kreisel einfahren... Aber man will ja bloss niemandem Platz lassen, ihh...",com,https://www.20min.ch/comment/139019297679,139019297679.0,,
Lawrov-der-schreckliche,2022-05-05 21:30:00+00:00,"Wenn Patins  Mega-Atombombe explodiert, braucht es weder ein rotes noch ein grünes Lichtsignal!",com,https://www.20min.ch/comment/139019297679,139019297679.0,,
Bernermann,2022-05-05 21:29:00+00:00,einen grund sehe ich auch in der zunahme der autos wenn wir in der 12 mio schweiz sind fahren wir nicht mehr wir sind imner im stau 😂,com,https://www.20min.ch/comment/139019297679,139019297679.0,,
Zipfelklatscher,2022-05-05 21:21:00+00:00,"Das selbstfahrende Auto wird trotz Fortschritt der Technik eine Utopie bleiben, denn kein Hersteller kann, bzw. wird eine 100% Garantie abgeben können, dass sein Produkt niemals einen Fehlimpuls erleidet. Und dann haben wir noch die Versicherungen, was diesbezüglich nämlich das grösste Problem darstellt. Wer zahlt, wenn...       ",com,https://www.20min.ch/comment/139019297679,139019297679.0,,
W.Meier,2022-05-05 21:19:00+00:00,"Ich würde einfach den Verkehrsplaner entlassen und dasProblem wäre gelöst.
Aus dem Büro sind noch nie schlaue Entscheide gekommen.
In Sursee sind die Kantischüler das Problem.

",com,https://www.20min.ch/comment/139019297679,139019297679.0,,
